instruction,output
What are BLEU and ROUGE metrics? For a Generative AI course student.,"BLEU (Bilingual Evaluation Understudy) measures n-gram precision between generated and reference text, used mainly for translation. ROUGE (Recall-Oriented Understudy for Gisting Evaluation) measures recall and F1 of n-gram overlap, used mainly for summarization. ROUGE-L uses longest common subsequence. Both are reference-based and miss semantic equivalence."
Please explain what is re-ranking in RAG?,Re-ranking improves retrieval quality by applying a cross-encoder to re-score the top-k candidates from the bi-encoder. Cross-encoders jointly process query and document and are more accurate but slower. Applied after initial retrieval to improve precision before passing context to the LLM.
"For a university exam, explain what is paged AdamW?","Paged AdamW (bitsandbytes) keeps optimizer states in CPU RAM and pages them to GPU only when needed. Standard AdamW stores moment tensors on GPU (2x model size). Paged AdamW reduces peak GPU memory significantly, enabling larger batch sizes. Used with QLoRA."
I need help understanding what is gradient checkpointing?,"Gradient checkpointing reduces activation memory by not storing all intermediate activations during the forward pass. During backprop, discarded activations are recomputed on the fly. Trades about 30% extra compute for a large reduction in memory, enabling larger batch sizes or longer sequences."
Briefly describe what is PEFT prefix tuning?,"Prefix tuning (Li & Liang, 2021) prepends a sequence of trainable continuous vectors (the prefix) to the key and value matrices at every Transformer layer. Only the prefix parameters are trained; base model is frozen. More expressive than prompt tuning but with more parameters."
Please explain what is a Wasserstein GAN?,WGAN replaces the JS divergence with Earth Mover (Wasserstein-1) distance. The discriminator (now called critic) outputs an unbounded score. Training requires weight clipping or a gradient penalty (WGAN-GP) to enforce the Lipschitz constraint. WGAN provides a meaningful loss metric correlated with sample quality.
"For a university exam, explain what is QLoRA? Explain with clear definitions.","QLoRA (Dettmers et al., 2023) combines 4-bit NF4 (NormalFloat4) quantization of the frozen base model with LoRA adapters trained in bfloat16. Double quantization further compresses quantization constants. With paged optimizers, a 7B model can be fine-tuned on a single 16 GB T4 GPU. Quality is close to 16-bit LoRA."
What is meant by what is the difference between BERT and GPT?,"BERT is encoder-only with bidirectional masked language modeling — reads the full sequence, powerful for understanding. GPT is decoder-only with causal language modeling — generates tokens left to right, powerful for generation and in-context learning. BERT has no generation capability; GPT can also do understanding via prompting."
What is residual connection? Provide a detailed answer.,"A residual (skip) connection adds the input of a sublayer directly to its output: y = F(x) + x. This allows gradients to flow directly through the network, mitigating vanishing gradients. Used in every Transformer block around the attention and FFN sublayers. Key to training very deep networks."
What is weight tying in language models? Provide a detailed answer.,"Weight tying shares the embedding matrix between the input token embedding layer and the output projection layer (lm_head). Since both map between token space and representation space, sharing weights reduces parameter count and often improves perplexity. Used in GPT-2 and many smaller LLMs."
I need help understanding what is context length and why does it matter?,"Context length (or context window) is the maximum number of tokens the model can attend to at once. Longer context enables processing entire documents, multi-turn conversations, and few-shot prompting with many examples. LLaMA-3 supports 128K tokens. Long context requires flash attention and positional encoding that generalizes (e.g., RoPE with YaRN)."
"In simple terms, what is what are BLEU and ROUGE metrics?","BLEU (Bilingual Evaluation Understudy) measures n-gram precision between generated and reference text, used mainly for translation. ROUGE (Recall-Oriented Understudy for Gisting Evaluation) measures recall and F1 of n-gram overlap, used mainly for summarization. ROUGE-L uses longest common subsequence. Both are reference-based and miss semantic equivalence."
What is meant by what is knowledge distillation? Give examples.,Knowledge distillation trains a smaller student model to mimic a larger teacher model. The student is trained on the teacher soft probability outputs (dark knowledge) rather than hard labels. DistilBERT is 40% smaller than BERT with 97% of its performance. Useful for deploying models on edge devices.
"In simple terms, what is what is perplexity and how is it interpreted?",Perplexity = exp(-1/N * sum_i log P(w_i|context)). Lower perplexity means the model assigns higher probability to test text — it is less surprised. A perplexity of k means the model is as uncertain as a uniform distribution over k choices per token. It is an intrinsic metric and may not directly predict downstream performance.
What is residual connection? Be concise.,"A residual (skip) connection adds the input of a sublayer directly to its output: y = F(x) + x. This allows gradients to flow directly through the network, mitigating vanishing gradients. Used in every Transformer block around the attention and FFN sublayers. Key to training very deep networks."
"As an AI student, explain what are chunking strategies for RAG? For a Generative AI course student.","Strategies: (1) Fixed-size with overlap (e.g., 512 tokens, 50-token overlap) — simple but may split sentences; (2) Recursive character splitting — splits at paragraphs, then sentences, then words; (3) Semantic chunking — splits when embedding similarity drops; (4) Document-structure-aware — splits at headers/sections. Overlap prevents context loss at chunk boundaries."
What is prompt tuning? For a GenAI student.,"Prompt tuning (Lester et al., 2021) prepends a small number of trainable token embeddings to the input at the embedding layer. The rest of the model is frozen. Simpler than prefix tuning. Performance approaches full fine-tuning at large model scales (10B+ parameters)."
